ts            src                des             seq      ack      check(win)      direction         
30.680453      41.177.26.193      244.3.160.248      13378      1629      64240      41.177.26.193->244.3.160.248      
30.680503      41.177.26.193      244.3.160.248      14838      1629      64240      41.177.26.193->244.3.160.248      
30.680512      41.177.26.193      244.3.160.248      16298      1629      64240      41.177.26.193->244.3.160.248      
30.681208      41.177.26.193      244.3.160.248      17758      1629      64240      41.177.26.193->244.3.160.248      
30.681237      41.177.26.193      244.3.160.248      19218      1629      64240      41.177.26.193->244.3.160.248      
30.681267      41.177.26.193      244.3.160.248      20678      1629      64240      41.177.26.193->244.3.160.248      
30.681299      41.177.26.193      244.3.160.248      22138      1629      64240      41.177.26.193->244.3.160.248      
30.681332      41.177.26.193      244.3.160.248      23598      1629      64240      41.177.26.193->244.3.160.248      
30.681366      41.177.26.193      244.3.160.248      8982      1637      64240      41.177.26.193->244.3.160.248      
30.681395      41.177.26.193      244.3.160.248      25058      1629      64240      41.177.26.193->244.3.160.248      
30.681429      41.177.26.193      244.3.160.248      10442      1637      64240      41.177.26.193->244.3.160.248      
30.681434      41.177.26.193      244.3.160.248      11902      1637      64240      41.177.26.193->244.3.160.248      
30.682046      41.177.26.193      244.3.160.248      26518      1629      64240      41.177.26.193->244.3.160.248      
